Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Clements D.H., Sarama J.","7101885377;6603605174;","Effects of a preschool mathematics curriculum: Summative research on the Building Blocks project",2007,"Journal for Research in Mathematics Education","38","2",,"136","163",,294,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947391380&partnerID=40&md5=673c45a825dde911f5d8c6effde1a338","University of Buffalo, State University of New York, United States; Graduate School of Education, University at Buffalo, State University of New York, Buffalo, NY 14260, United States","Clements, D.H., University of Buffalo, State University of New York, United States, Graduate School of Education, University at Buffalo, State University of New York, Buffalo, NY 14260, United States; Sarama, J., University of Buffalo, State University of New York, United States, Graduate School of Education, University at Buffalo, State University of New York, Buffalo, NY 14260, United States","This study evaluated the efficacy of a preschool mathematics program based on a comprehensive model of developing research-based software and print curricula. Building Blocks, funded by the National Science Foundation, is a curriculum development project focused on creating research-based, technology-enhanced mathematics materials for pre-K through grade 2. In this article, we describe the underlying principles, development, and initial summative evaluation of the first set of resulting materials as they were used in classrooms with children at risk for later school failure. Experimental and comparison classrooms included two principal types of public preschool programs serving low-income families: state funded and Head Start prekindergarten programs. The experimental treatment group score increased significantly more than the comparison group score; achievement gains of the experimental group approached the sought-after 2-sigma effect of individual tutoring. This study contributes to research showing that focused early mathematical interventions help young children develop a foundation of informal mathematics knowledge, especially for children at risk for later school failure.","Computers; Curriculum; Early childhood; Equity/diversity; Instructional intervention; Instructional technology; Preschool/primary; Program/project assessment",,"English",Article,"Final","",Scopus,2-s2.0-33947391380
"Silver E.A.","35320298600;","Fostering creativity through instruction rich in mathematical problem solving and problem posing [Kreativität fördern durch einen unterricht, der reichist and situationen des mathematischen problemlösens und aufgabenerfindens]",1997,"ZDM - International Journal on Mathematics Education","29","3",,"75","80",,279,"10.1007/s11858-997-0003-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250900300&doi=10.1007%2fs11858-997-0003-x&partnerID=40&md5=60e41999f918f20ced73cba2825a2834","University of Pittsburgh, LRDC 729, 3939 O'Hara Street, Pittsburgh, PA 15260, United States","Silver, E.A., University of Pittsburgh, LRDC 729, 3939 O'Hara Street, Pittsburgh, PA 15260, United States","Although creativity is often viewed as being associated with the notions of ""genius"" or exceptional ability, it can be productive for mathematics educators to view creativity instead as an orientation or disposition toward mathematical activity that can be fostered broadly in the general school population. In this article, it is argued that inquiry-oriented mathematics instruction which includes problem-solving and problem-posing tasks and activities can assist students to develop more creative approaches to mathematics. Through the use of such tasks and activities, teachers can increase their students' capacity with respect to the core dimensions of creativity; namely, fluency, flexibility, and novelty. Because the instructional techniques discussed in this article have been used successfully with students all over the world, there is little reason to believe that creativity-enriched mathematics instruction cannot be used with a broad range of students in order to increase their representational and strategic fluency and flexibility, and their appreciation for novel problems, solution methods, or solutions.",,,"English; German",Article,"Final","",Scopus,2-s2.0-34250900300
"Martín-Gutiérrez J., Mora C.E., Añorbe-Díaz B., González-Marrero A.","57211089549;55970819500;56372137700;6506938651;","Virtual technologies trends in education",2017,"Eurasia Journal of Mathematics, Science and Technology Education","13","2",,"469","486",,272,"10.12973/eurasia.2017.00626a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012981888&doi=10.12973%2feurasia.2017.00626a&partnerID=40&md5=85ed2d4e6ba7f7764476c4a399d54958","Universidad de La Laguna, Spain","Martín-Gutiérrez, J., Universidad de La Laguna, Spain; Mora, C.E., Universidad de La Laguna, Spain; Añorbe-Díaz, B., Universidad de La Laguna, Spain; González-Marrero, A., Universidad de La Laguna, Spain","Virtual reality captures people's attention. This technology has been applied in many sectors such as medicine, industry, education, video games, or tourism. Perhaps its biggest area of interest has been leisure and entertainment. Regardless the sector, the introduction of virtual or augmented reality had several constraints: it was expensive, it had poor ergonomics, or implied too much work to create contents. Recent technological innovations, including the rapid adoption of smartphones by society, have facilitated the access to virtual reality and augmented reality of anyone. In addition, several large companies like Apple, Facebook, Samsung, and Magic Leap, among others, have increased their investment to make these technologies to improve their accessibility within the next few years. Educational institutions will benefit from better accessibility to virtual technologies; this will make it possible to teach in virtual environments that are impossible to visualize in physical classrooms, like accessing into virtual laboratories, visualizing machines, industrial plants, or even medical scenarios. The huge possibilities of accessible virtual technologies will make it possible to break the boundaries of formal education. © Authors.","Augmented reality; Educational Technology; Virtual Learning Environment; Virtual reality",,"English",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85012981888
"Ma X., Kishor N.","41762025300;36948216900;","Assessing the relationship between attitude toward mathematics and achievement in mathematics: A meta-analysis",1997,"Journal for Research in Mathematics Education","28","1",,"26","47",,267,"10.2307/749662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3543024474&doi=10.2307%2f749662&partnerID=40&md5=4f89e18466c3522524608c913ad2eb24","University of New Brunswick, Canada; University of British Columbia, Canada; Atlantic Centre for Policy Research in Education, University of New Brunswick, Fredericton, NB E3B 6E3, Canada; Department of Educational Psychology and Special Education, University of British Columbia, Vancouver, BC V6T 1Z4, Canada","Ma, X., University of New Brunswick, Canada, Atlantic Centre for Policy Research in Education, University of New Brunswick, Fredericton, NB E3B 6E3, Canada; Kishor, N., University of British Columbia, Canada, Department of Educational Psychology and Special Education, University of British Columbia, Vancouver, BC V6T 1Z4, Canada","Little consensus exists in the research literature concerning the relationship between attitude toward mathematics and achievement in mathematics. To assess the magnitude of this relationship, the researchers conducted a meta-analysis to integrate and summarize the findings from 113 primary studies. The statistical results of these studies were transformed into a common effect size measure, correlation coefficient. This relationship was found to be dependent on a number of variables: grade, ethnic background, sample selection, sample size, and date of publication. Gender did not have a significant effect on the relationship, nor were there any significant interactions among gender, grade, and ethnic background. The researchers discuss the findings in comparison to previous narrative reviews and meta-analyses, and draw implications for practice and further research.",,,"English",Article,"Final","",Scopus,2-s2.0-3543024474
"Watugala G.K.","6508089925;","Sumudu transform: A new integral transform to solve differential equations and control engineering problems",1993,"International Journal of Mathematical Education in Science and Technology","24","1",,"35","43",,249,"10.1080/0020739930240105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0006219608&doi=10.1080%2f0020739930240105&partnerID=40&md5=ab4be9e4b1ef45059e7bf2f924969590","School of Mathematics and Statistics, Curtin University of Technology, GPO Box U1987, Perth, WA, 6001, Australia","Watugala, G.K., School of Mathematics and Statistics, Curtin University of Technology, GPO Box U1987, Perth, WA, 6001, Australia","A new integral transform called the Sumudu transform is introduced. This transform possesses many interesting properties which make its visualization easier. Some of these properties are: (1) The differentiation and integration in the t-domain is equivalent to division and multiplication of the transformed function F(u) by u in the u-domain. (2) The unit-step function in the t-domain is transformed to unity in the u-domain. (3) Scaling of the function f(t) in the t-domain is equivalent to scaling of F(u) in the u-domain by the same scale factor. (4) The limit of f(t) as t tends to zero is equal to the limit of F(u) as u tends to zero. (5) For several cases, the limit of F(t) as t tends to infinity is the same as the limit of F(u) as u tends to infinity. (6) The slope of the function f(t) at t = 0 is the same as the slope of F(u) at u = 0. Hence u and F(u) are no longer dummies but can be treated as replicas of t and f(t). It is even possible to express u and F(u) using the units of t and f(t) respectively. © 1993 Taylor and Francis Ltd.",,,"English",Article,"Final","",Scopus,2-s2.0-0006219608
"Kieran C.","14825322200;","Concepts associated with the equality symbol",1981,"Educational Studies in Mathematics","12","3",,"317","326",,246,"10.1007/BF00311062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001071316&doi=10.1007%2fBF00311062&partnerID=40&md5=93fa66f05e5337d69e01dd5fc1f34d14","Mathematics Department, Concordia University, Montreal, Canada","Kieran, C., Mathematics Department, Concordia University, Montreal, Canada","This paper looks at recent research dealing with uses of the equal sign and underlying notions of equivalence or non-equivalence among preschoolers (their intuitive nitions of equality), elementary and secondary school children, and college students. The idea that the equal sign is a ""do something signal""This expression was first coined by Behr, Erlwanger and Nichols in their 1976 PMDC Technical Report (S. Erlwanger, personal communication, June 1980). (an operator symbol) persists throughout elementary school and even into junior high school. High schoolers' use of the equal sign in algebraic equations as a symbol for equivalence may be concealing a fairly tenuous grasp of the underlying relationship between the equal sign and the notion of equivalence, as indicated by some of the ""shortcut"" errors they make when solving equations. © 1991 D. Reidel Publishing Company.",,,"English",Article,"Final","",Scopus,2-s2.0-0001071316
"Blum W., Niss M.","35344446500;16430320900;","Applied mathematical problem solving, modelling, applications, and links to other subjects - State, trends and issues in mathematics instruction",1991,"Educational Studies in Mathematics","22","1",,"37","68",,244,"10.1007/BF00302716","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0010187979&doi=10.1007%2fBF00302716&partnerID=40&md5=97231c9e8037c213f02d9556fb7f08fe","Dept. of Mathematics, Kassel University, Heinrich-Plett-Str. 40, Kassel, D-3500, Germany; Roskilde University IMFVFA, Postbox 260, Roskilde, DK-4000, Denmark","Blum, W., Dept. of Mathematics, Kassel University, Heinrich-Plett-Str. 40, Kassel, D-3500, Germany, Roskilde University IMFVFA, Postbox 260, Roskilde, DK-4000, Denmark; Niss, M., Dept. of Mathematics, Kassel University, Heinrich-Plett-Str. 40, Kassel, D-3500, Germany, Roskilde University IMFVFA, Postbox 260, Roskilde, DK-4000, Denmark","The paper will consist of three parts. In part I we shall present some background considerations which are necessary as a basis for what follows. We shall try to clarify some basic concepts and notions, and we shall collect the most important arguments (and related goals) in favour of problem solving, modelling and applications to other subjects in mathematics instruction. In the main part II we shall review the present state, recent trends, and prospective lines of development, both in empirical or theoretical research and in the practice of mathematics instruction and mathematics education, concerning (applied) problem solving, modelling, applications and relations to other subjects. In particular, we shall identify and discuss four major trends: a widened spectrum of arguments, an increased globality, an increased unification, and an extended use of computers. In the final part III we shall comment upon some important issues and problems related to our topic. © 1991 Kluwer Academic Publishers.",,,"English",Article,"Final","",Scopus,2-s2.0-0010187979
"Gutstein E.","56305533600;","Teaching and learning mathematics for social justice in an urban, Latino school",2003,"Journal for Research in Mathematics Education","34","1",,"37","73",,239,"10.2307/30034699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037257789&doi=10.2307%2f30034699&partnerID=40&md5=d8171ed4b83e4ae726f8c879a4c515aa","College of Education, University of Illinois - Chicago, M/C 147, 1040 West Harrison Street, Chicago, IL 60607, United States","Gutstein, E., College of Education, University of Illinois - Chicago, M/C 147, 1040 West Harrison Street, Chicago, IL 60607, United States","This article reports on a 2-year study about teaching and learning mathematics for social justice in an urban, Latino classroom and about the role of an NCTM Standards-based curriculum. I was the teacher in the study and moved with the class from seventh to eighth grade. Using qualitative, practitioner-research methodology, I learned that students began to read the world (understand complex issues involving justice and equity) using mathematics, to develop mathematical power, and to change their orientation toward mathematics. A series of real-world projects was fundamental to this change, but the Standards-based curriculum was also important; such curricula can theoretically promote equity, but certain conditions may need to exist. Social justice pedagogy broadens the concept of equity work in mathematics classrooms and may help promote a more just society.","Attitudes; Beliefs; Critical theory; Equity/diversity; Middle grades, 5-8; Qualitative methods; Race/ethnicity/SES; Social and cultural issues",,"English",Article,"Final","",Scopus,2-s2.0-0037257789
"Boaler J.","6602143470;","Open and closed mathematics: Student experiences and understandings",1998,"Journal for Research in Mathematics Education","29","1",,"41","62",,235,"10.2307/749717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040834496&doi=10.2307%2f749717&partnerID=40&md5=0d1e7217c8cf72d396fb0bb4ad29d26c","King's College, London University, United Kingdom; School of Education, King's College London, Cornwall House, Waterloo Road, London SE1 8WA, United Kingdom","Boaler, J., King's College, London University, United Kingdom, School of Education, King's College London, Cornwall House, Waterloo Road, London SE1 8WA, United Kingdom","This paper reports on 3-year case studies of 2 schools with alternative mathematical teaching approaches. One school used a traditional, textbook approach; the other used open-ended activities at all times. Using various forms of case study data, including observations, questionnaires, interviews, and quantitative assessments, I will show the ways in which the 2 approaches encouraged different forms of knowledge. Students who followed a traditional approach developed a procedural knowledge that was of limited use to them in unfamiliar situations. Students who learned mathematics in an open, project-based environment developed a conceptual understanding that provided them with advantages in a range of assessments and situations. The project students had been ""apprenticed"" into a system of thinking and using mathematics that helped them in both school and nonschool settings.",,,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-0040834496
"Köller O., Baumert J., Schnabel K.","7006075633;55157848600;57225357993;","Does Interest Matter? The Relationship between Academic Interest and Achievement in Mathematics",2001,"Journal for Research in Mathematics Education","32","5",,"448","470",,232,"10.2307/749801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035565349&doi=10.2307%2f749801&partnerID=40&md5=bd7ed61409f97779d09dbbba1de5cf8a","Max Planck Inst. for Hum. Devmt., Berlin, Germany; University of Michigan, Ann Arbor, MI, United States; Max Planck Inst. for Hum. Devmt., Lentzeallee 94, D-14195 Berlin, Germany","Köller, O., Max Planck Inst. for Hum. Devmt., Berlin, Germany, Max Planck Inst. for Hum. Devmt., Lentzeallee 94, D-14195 Berlin, Germany; Baumert, J., Max Planck Inst. for Hum. Devmt., Berlin, Germany; Schnabel, K., University of Michigan, Ann Arbor, MI, United States","A total of n = 602 students (59.5% female) from academically selected schools in Germany were tested at three time points - end of Grade 7, end of Grade 10, and middle of Grade 12 - in order to investigate the relationships between academic interest and achievement in mathematics. In addition, sex differences in achievement, interest, and course selection were analyzed. At the end of Grade 10, students opted for either a basic or an advanced mathematics course. Data analyses revealed sex differences in favor of boys in mathematics achievement, interest, and opting for an advanced mathematics course. Further analyses by means of structural equation modeling show that interest had no significant effect on learning from Grade 7 to Grade 10, but did affect course selection - that is, highly interested students were more likely to choose an advanced course. Furthermore, interest at the end of Grade 10 had a direct and an indirect effect (via course selection) on achievement in upper secondary school. In addition, results suggest that, at least from Grade 7 to Grade 10, achievement affected interest - that is, high achievers expressed more interest than low achievers. The findings underline the importance of interest for academic choices and for self-regulated learning when the instructional setting is less structured.","Achievement; Gender issues; Longitudinal studies; Motivation; Secondary mathematics",,"English",Article,"Final","",Scopus,2-s2.0-0035565349
"Love B., Hodge A., Grandgenett N., Swift A.W.","55775116900;36615486700;8970745000;55650961000;","Student learning and perceptions in a flipped linear algebra course",2014,"International Journal of Mathematical Education in Science and Technology","45","3",,"317","324",,231,"10.1080/0020739X.2013.822582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894279223&doi=10.1080%2f0020739X.2013.822582&partnerID=40&md5=3ca670e54d18422ba2927752b415c7b0","Department of Mathematics, University of Nebraska at Omaha, 6001 Dodge Street, Omaha, NE 68182, United States; Department of Teacher Education, University of Nebraska at Omaha, 6001 Dodge Street, Omaha, NE 68182, United States","Love, B., Department of Mathematics, University of Nebraska at Omaha, 6001 Dodge Street, Omaha, NE 68182, United States; Hodge, A., Department of Mathematics, University of Nebraska at Omaha, 6001 Dodge Street, Omaha, NE 68182, United States; Grandgenett, N., Department of Teacher Education, University of Nebraska at Omaha, 6001 Dodge Street, Omaha, NE 68182, United States; Swift, A.W., Department of Mathematics, University of Nebraska at Omaha, 6001 Dodge Street, Omaha, NE 68182, United States","The traditional lecture style of teaching has long been the norm in college science, technology, engineering, and mathematics (STEM) courses, but an innovative teaching model, facilitated by recent advances in technology, is gaining popularity across college campuses. This new model inverts or 'flips' the usual classroom paradigm, in that students learn initial course concepts outside of the classroom, while class time is reserved for more active problem-based learning and practice activities. While the flipped classroom model shows promise for improving STEM learning and increasing student interest in STEM fields, discussions to date of the model and its impact are more anecdotal than data driven - very little research has been undertaken to rigorously assess the potential effects on student learning that can result from the flipped classroom environment. This study involved 55 students in 2 sections of an applied linear algebra course, using the traditional lecture format in one section and the flipped classroom model in another. In the latter, students were expected to prepare for the class in some way, such as watching screencasts prepared by the instructor, or reading the textbook or the instructor's notes. Student content understanding and course perceptions were examined. Content understanding was measured by the performance on course exams, and students in the flipped classroom environment had a more significant increase between the sequential exams compared to the students in the traditional lecture section, while performing similarly in the final exam. Course perceptions were represented by an end-of-semester survey that indicated that the flipped classroom students were very positive about their experience in the course, and particularly appreciated the student collaboration and instructional video components. © 2013 © 2013 Taylor & Francis.","flipped classroom; inquiry-based learning; linear algebra; student perceptions of instruction; teaching with technology",,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84894279223
"Healy L., Hoyles C.","8845498000;6602954869;","A study of proof conceptions in algebra",2000,"Journal for Research in Mathematics Education","31","4",,"396","428",,228,"10.2307/749651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-23044520094&doi=10.2307%2f749651&partnerID=40&md5=3a57840588131c4b758d3e03deb4fb7f","University of London, United Kingdom; Mathematical Sciences Group, Institute of Education, 20 Bedford Way, London WC1H 0AL, United Kingdom","Healy, L., University of London, United Kingdom, Mathematical Sciences Group, Institute of Education, 20 Bedford Way, London WC1H 0AL, United Kingdom; Hoyles, C., University of London, United Kingdom, Mathematical Sciences Group, Institute of Education, 20 Bedford Way, London WC1H 0AL, United Kingdom","After surveying high-attaining 14- and 15-year-old students about proof in algebra, we found that students simultaneously held 2 different conceptions of proof: those about arguments they considered would receive the best mark and those about arguments they would adopt for themselves. In the former category, algebraic arguments were popular. In the latter, students preferred arguments that they could evaluate and that they found convincing and explanatory, preferences that excluded algebra. Empirical argument predominated in students' own proof constructions, although most students were aware of its limitations. The most successful students presented proofs in everyday language, not using algebra. Students' responses were influenced mainly by their mathematical competence but also by curricular factors, their views of proof, and their genders.","Algebra; Large-scale studies; Proof; Reasoning; Secondary mathematics; Survey study",,"English",Article,"Final","",Scopus,2-s2.0-23044520094
"Kaiser G., Sriraman B.","37072762300;6506159282;","A global survey of international perspectives on modelling in mathematics education",2006,"ZDM - International Journal on Mathematics Education","38","3",,"302","310",,217,"10.1007/BF02652813","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649566758&doi=10.1007%2fBF02652813&partnerID=40&md5=fb24953ffb8c9569a08e27cfecba3dee","University of Hamburg, Faculty of Education, Von-Melle-Park 8, 20146 Hamburg, Germany; Dept. of Mathematics, The University of Montana, Missoula, MT 59812, United States","Kaiser, G., University of Hamburg, Faculty of Education, Von-Melle-Park 8, 20146 Hamburg, Germany; Sriraman, B., Dept. of Mathematics, The University of Montana, Missoula, MT 59812, United States","In this article we survey the current debate on modelling and describe different perspectives on this debate. We relate these perspectives with earlier perspectives and show similarities and differences between these different approaches.",,,"English",Article,"Final","",Scopus,2-s2.0-78649566758
